,content,label,origin
3120,"水 呀 吗 水煮鱼 , , , 味道 怎么 就 这么 好 !",1,3
3121,"数据 库 被 我 玩 出 好多 异常 , 我 觉得 我 完了 . . . [ 泪 ]",2,2
3122,"好 烦 , 失眠 了 , 明天 要 回家 处理 各种 问题",4,3
3123,"下雨 了 , 不能 去 长隆 … 哎 … 不 急 , 不 慌 …",2,2
3124,"好 充实 的 周末 哦 … 嘻 嘻嘻 , 好似 去 探险 一样 !",5,5
3125,"… 男 的 谁 打 耳洞 , 我 就 和 谁 断绝 关系 [ 怒 ]",3,4
3126,"爱情 , 真的 是 两 个 人 的 事 , 是 吧",2,0
3127,找 个 固定 的 人 跑步 呀,5,4
3128,"既然 人家 告诉 你 属 狗 , 那 就 别 在 追问 是 京 巴 还是 沙皮 了 。",3,3
3129,"这 休假 , 比 上班 还 累 啊 ~ ~",2,2
3130,温度 骤然 从 32 变成 23 。 。,2,0
3131,啊 啊 啊 啊 啊   土耳其 就是 一 烤炉   晒 了 黑 得 认 不 出 了,3,3
3132,[ 白眼 ]   好 眼 训 吖 `,3,5
3133,突然 流 鼻血 的 我 . . . 手忙脚乱 . 我 可 没有 看 什么 刺激 的 啊 !,3,2
3134,"淡然 面对 辞职 , 谂 下 有 咩 路数 先 . . .",2,1
3135,谁 要 厦门 大学 的 名 信 卡片 ? 报名 啦 ! 每人 限 一 张 啦 ! ! !,5,5
3136,我 是 传奇 还 蛮 好看 的 ~ ~,1,1
3137,最 难忘 的 节日 !,1,1
3138,"其实 我 很 烦恼 , 只是 你 看不到 … …",2,2
3139,“ 拍照 一时 爽   后期 火葬 场 ” [ 阴险 ],3,5
3140,"第 二 定单 已 下 , 阿联 5.25",0,0
3141,4.3-4.11   u.s .,0,0
3142,傻 妞儿 . . 有 你 后悔 的 那天,3,3
3143,谁 看 一下 我 的 关注 数 是 多少 [ 拜拜 ] 手机 怎么 看着 这么 多,3,4
3144,"在 外面 散步 减肥 中 … 求 艳遇 , 哈哈 …",5,5
3145,"找 个 去 洗澡 喝茶 的 都 找 不到 , 只能 一个 人 去 了 , , 伤 不 起",2,3
3146,比 鬼神 更 可怕 的 是   人心,0,3
3147,"今天 接到 几 个 温馨 的 电话 , 虽然 冻 , 但是 好 感动 。",1,5
3148,[ 汗 ] [ 汗 ],3,0
3149,男人 是 条 狗   谁 有 本事 谁 牵 走,3,4
3150,[ 怒 ] 纠结 死 啦 ! ! !,4,4
3151,尼玛 ! 我 快 饿死 了 … 搞 个 头发 到 现在 还 没 好 ! [ 泪 ],2,2
3152,从 深圳 出发 ~ 广州 上班 去 [ 偷 笑 ],5,5
3153,真 不 知道 我 tm 是 图 什么 ?,4,4
3154,蔡蔡   我 来 啦 ~ 隔 得 好 近 噢   啦 啦 啦   [ 爱 你 ]   [ 爱 你 ]   [ 爱 你 ],5,5
3155,"[ 叶子 ]   , 不 知道 如何 努力 , 又 是 迷茫 ~",2,1
3156,他 娘 的 鞋 帮子   关 我 屁事,4,4
3157,"有 个 人 狂 的 很 土 , 但 能 兑现 口号 , 那 就是 本事 。",1,3
3158,卧 槽 好 可惜 山 p 的 麦 没 开 ! ! 不然 就 完美 了 ! ! ! ! !,3,4
3159,我 看 我 就是 手 贱 啊 ! 哎 ~,2,2
3160,早安 。 上班 去 咯 。 今天 天气 视乎 好 得 有点 过头 。 [ 太阳 ],5,5
3161,"哎 , 明天 女人 们 都 有 约 了 , 求 收留",2,1
3162,剁 手 !,3,0
3163,"才 发现 , 大学 之前 的 教育 其实 使 我 愚蠢 了 …",2,2
3164,下班 [ 偷 笑 ] 啦 ! 如果 天天 都 可以 这么 早 就 好 了 !,5,5
3165,悲剧 啊 ~ ~ 居然 睡 不 着 ! !,2,2
3166,今晚 的 聚餐 吃 得 几 饱 的 . . 意味 着 又 肥 了 . . 唉,2,2
3167,"蛇年 , 将 好运 进行 到底 。 [ 蛇 ] [ 祈祷 ] [ 祈祷 ] [ 祈祷 ] [ 酒杯 ] [ 傻笑 ]",1,0
3168,这 事儿 弄 的 真 恶心 … …,3,3
3169,感谢 你 的 理解   我 知道 只有 理解 没有 支持   但是 已经 足够 了,1,1
3170,还有 多长 时间 过年 ? [ 太 开心 ],5,5
3171,"亏 你 长 了 一 张 藏獒 的 脸 , 却 有 一 颗 京 巴 的 心 !",3,2
3172,"一 堆 一 堆 的 活 , 我 好 困 啊 。 555",2,2
3173,上海 今天 的 天气 很 适合 外星 人 入侵 啊 ~ 赶紧 来 吧,3,5
3174,好 难受 。 。 。 。,2,2
3175,"@ 锌 擎 @ 许 嘎嘎 嘎   啊 宝 污染 景区 , 我 必须 揭发 他   [ 奥特曼 ]",3,5
3176,我 要 阳光 、 、 [ 阳光 ],2,1
3177,顺德 包车 上 很多 以前 都 是 实 中 的 星海 童鞋,0,0
3178,三 年 。,0,0
3179,"天 灵灵 , 地 灵灵 , 保佑 晚上 中 大奖 。 [ 哈哈 ] [ 哈哈 ]",5,5
3180,犯贱 么 我,3,4
3181,"肥 妹 仔 进入 温网 16 强 , 加油 ! [ 给 力 ]",1,1
3182,"今晚 我们 都 是 60e , 梦 回 s2 [ doge ] [ doge ]",1,5
3183,"一 觉 醒来 , 秋天 好像 来 了 [ 爱 你 ]",1,1
3184,情人 节 怎么 过 ? 略过 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,2,5
3185,肉蒲团 … 太 狗 血 了 …,3,3
3186,lee 啊 lee ! 我 啦 肚子 啦 ! 痛 死 啦 ! 我 不该 跟 你 去 牛杂 !,2,5
3188,继续 高温 . . .   短 t 出门 !   [ 阳光 ],1,1
3189,"看来 , 这 首 歌 完全 出来 了 , 我 的 手 也 几乎 血泡 也 破 了 !",2,1
3190,最近 真的 过 惨 [ 熊猫 ],2,5
3191,"重案 队 走 出去 的 人 , 一定 要 有 尖刀 部队 的 神气 !",1,1
3192,俄罗斯 方便 面 [ 嘻嘻 ],1,5
3193,想 要 自己 的 力量 房,0,0
3194,吃 完 晚饭 才 6 点 半 [ 浮云 ],0,0
3195,完了 。 出门 忘 吃药 了 。 [ 抓狂 ] [ 抓狂 ] [ 抓狂 ],3,2
3196,"我 在 明孝陵 , 一边 暴 走 , 一边 看 神兽 , 一边 喂 蚊子 … …",2,2
3197,"那些 生产 地沟 油 的 黑心 商家 , 真 该 全部 拖 出去 毙 了 !",4,3
3198,"对 这个 事 , 我 表示 讨厌 , 非常 讨厌 ! [ 抓狂 ] [ lxhx 掀 桌 ]",4,3
3199,今天 过 生日   哎   又 老 了   不 怎么样   先 祝 自己 生日 快乐,1,5
3200,"运动 会 上 男生 各种 腿 细腰 细 , 太 羞愧 了 呐",2,1
3201,"今天 , 我 受伤 了 ~ ~ [ 泪 ] [ 泪 ] [ 泪 ] [ 悲伤 ] [ 悲伤 ] [ 悲伤 ]",2,2
3202,大事 办完 一 件 。 。 接下来 年 后 有的 忙 了 。 。 。 otz,2,0
3203,"看 了 国足 三 分钟 了 , 哎 , 我 还是 步步 惊心 吧 !",3,2
3204,"斜视 , 弱视 or 脑残 ? [ 怒骂 ]",4,3
3205,"看 新闻 快报 , 美国 对 加纳 , 相当 好看 啊 !",1,3
3206,终于 下班 回家 了 [ 哼 ] [ 哼 ] [ 哼 ] [ 酷 ] [ 酷 ] [ 酷 ],5,5
3207,"咱 这次 来 聊聊 南方 男人 和 北方 男人 , 请 女方 说明 !",0,0
3208,"我们 到 啦 ~ 共青 森林 公园 [ 微风 ] 天气 好 热 啊 , 烧烤 烧烤",1,5
3209,是 睡觉 好 呢 还是 不 睡觉 好 呢 · · ·,2,3
3210,踢 咗 台 风扇 落 床 …,2,2
3211,"麻将 开始 , 劲",5,5
3212,为什么 有的 人 这么 坚信 自己 发 照片 一定 会 涨 粉 。 。,3,0
3213,欧 欧 ~ 欧 ~ 捉奸 去 ~ 耶耶 ~ 孩子 他 爹 ~ 等 我 撒 ~,5,2
3214,开开心心 上学 去 ~ !,5,1
3215,"岁月 果然 是 最大 的 小偷 , 翻看 些 旧物 后 深信不疑",2,3
3216,"天气 好 热 , 人 都 好似 变成 一 堆 烂泥",3,3
3217,脸 被 小米 挠 了 两 道子 。 。 。 臭 米 子 。 。 。 [ 哼 ],3,3
3218,谁 的 莫名其妙 不是 你 不 知道 的 由来已久 。 算 球 算 球 。 [ 呵呵 ],3,3
3219,他们 今天 来 天津 [ 泪 ],2,2
3220,"要么 饿死 , 要么 撑死 ! t ~ t , 胃 好 难受 ~ ~",2,2
3221,广州 好 危险 ! 要 不要 回 校 呢 ! [ 衰 ],2,2
3222,"忽然 想到 , 我 身边 有 个 男人 , 不 抽烟 不 喝酒 喜欢 吃 零食 。",3,1
3223,给 我 中 个 头奖 吧 [ 耶 ] [ 酷 ],5,5
3224,"生活 的 调味 品 , 不折不扣 的 催眠 师 啊 啊 啊 [ 爱 你 ]",1,1
3225,谁 能 告诉 我 瘦 到 90 斤 会 是 神马 样子 滴 ? ? ?,0,2
3226,哪个 景色 能 震撼 你 ? · · · · · ·,0,1
3227,求 推荐 好看 的 日剧 或者 英 剧 qaq,0,1
3228,又 一个 厌食 周期 来临 [ 馋嘴 ],2,5
3229,[ 囧 ] [ bed 凌乱 ] 看 了 乐 翻天   宁静 还是 那么 好看 [ bed 凌乱 ] 女神,1,1
3230,"胃 , 你 怎么 了 , 怎么 又 难受 了   [ 生病 ]   [ 生病 ]   [ 生病 ]   [ 泪 ]   [ 泪 ]   [ 泪 ]",2,2
3231,"为什么 要 结婚 呢 , 真 讨厌 啊 。",3,3
3232,"原来 , 专情 也 是 一个 缺点 , 而且 没 办法 改过 。 [ 衰 ] [ 衰 ] [ 衰 ]",2,2
3233,千言万语 汇成 一个 字 [ 怒 ],4,4
3234,有人 转 宝宝 小 床 嘛 ? ? 要 实木 的 ~ ~ ~ ~ ~ ~ [ 思考 ],0,5
3235,哎呀 ! 一不小心 今天 晚上 就 嗨 了 一 盘 ! [ 害羞 ],5,5
3236,"i   need   perfect , not   just   completion.don ' t   disturb   me.ok ? [ 嘘 ]",2,2
3237,胃 抽筋 会 怎样,0,0
3238,"温柔 乖巧 背后 有 腹黑 既 属性 , 你 觉得 恐怖 吗 ?   晚安 。 。 。",0,1
3239,"今天 翘 掉 了 晚 修 , 跟 晓琳 去 了 书城 , 感觉 不错 . 还 买 到 了 陪 2 橙",5,5
3240,笨蛋 …,2,0
3241,谢谢 亲爱 的   么 么,5,5
3242,期末 总结 会 好像 颁奖 典礼 : 感谢 … 感谢 … … 感谢 … … …,3,5
3243,"为啥 选 这 周 公布 考核 呢 , 生日 都 过 不 安省 [ 失望 ] [ 失望 ]",2,2
3244,生命 就是 不断 地 告别 !,2,0
3245,淡定 … [ 偷 笑 ],5,5
3246,"解放 啦 , 不过 又 要 陷入 另外 的 劳苦 中 ! ! ! !",2,1
3247,面包 新语 : ) 味道 好 极了 o ( ∩ _ ∩ ) o,1,1
3248,"我 很 烦 很 烦 很 烦 , 别 烦 我 · · · · 惹 你 生气 了 与 我 无关 · · · ·",4,3
3249,"再 咁 做 多 两 日 , 应该 怒 瘦 十 斤 了",1,0
3251,昨天 开 喝 的 后果 就是 今天 茫茫 的,2,0
3252,"姑 凉 , 我们 应该 嫁给 爱情 还是 应该 嫁给 婚姻 ?",0,3
3253,从 今天 开始   我 要 减肥 了,0,5
3254,"我 想 , 你们 尽管 孤立 我 吧 。",2,2
3255,饿 晕 了,2,3
3256,今天 我 一定 要 开单 ~ ~ ~,5,5
3257,长 慕越 到 后来 占有 欲 变得 好 可怕 啊 ~ ~ ~ 咦 咦 咦 咦,3,2
3258,[ 鼓掌 ]   路考 过 啦   挖 哈哈,5,5
3259,累 得 吃饭 的 力气 也 没有 啦 [ 衰 ],2,2
3260,"本应 互相 尊重 , 为何 偏偏 不 懂 , 是 每 读 过 书 吗 ?",3,3
3261,"外联 部 , 宣传 部 , 技术 部 只 可以 选 两 个 面试 , 挣扎 中 … [ 水滴 ]",2,3
3262,武汉,0,0
3263,为 毛 都 说 杂碎 不 喜欢 笔 。 。 都 从 哪 听说 的 ?,3,3
3264,谁 能 跟 我 说说 魅族 机 怎么 样 、,0,3
3265,26 年 来 第 一 次 想 过 情人 节,0,0
3266,"1200 万 美金 请 一个 巴西 教练 一 年 , 疯 了 。",3,0
3267,《 浪漫 的 老鼠 》,0,0
3268,"话 说 , 快 毕业 了 ! ! 还有 很多 2b 的 事情 未 做 . ! [ 阴险 ]",0,5
3269,交响 乐 版 的 heavens   divide 听 得 我 一身 鸡皮疙瘩 [ 生病 ],1,1
3270,"再见 , 篮球",2,2
3271,"贵阳 两 次 , 他 应该 记得 了 吧",2,3
3272,回家 倒 计时 了   我 兴奋 的 不得了 了 [ 嘻嘻 ] [ 嘻嘻 ],5,5
3273,烦 烦 烦 、,4,3
3274,说 比 想 难   做 比 说 难   [ 悲伤 ],2,0
3275,"稳 日 要 同 只 死 八婆 , 讲 清楚 先 的 . . .",3,3
3276,"深深 崇拜 , 深深 迷恋 , 深深 的 沉醉",1,1
3277,无所事事   -   -,3,0
3278,好多 女孩 纸 捧 着 花 哖 …,0,2
3279,凌晨 四点 多 醒来 刷 微薄 的 ddp   伤 不 起 啊 [ 晕 ] [ 晕 ] [ 晕 ] [ 晕 ],2,3
3280,"求助 : 如何 令 对方 停止 打 鼻 鼾 ? 在线 等 , 急 !",3,0
3281,"怎么 办 。 我 现在 是 一 只 盛放 的 气球 。 万事俱备 , 只 差 根 针 。",2,2
3282,脖子 痛,2,2
3283,我 想 我 要 饿死 了 。 。 。 我 不 减肥 了 。 。 。,2,2
3284,一 张 餐巾 纸 都 撕 成 两 半 用 的 女人 绝对 会 过 日子,0,0
3285,我 的 天空   今天 有点 灰 。,2,2
3286,压抑 到 极点 了 · · · · · · ·,2,2
3287,"奥巴马 赢 了 , 几 家 欢喜 几 家 忧 啊",0,3
3288,"想 挖 个 坑 , 把 自己 给 埋 了 ! 疯子 !",3,4
3289,累 到 灵魂 深处 啊 ! 一 站 就 十 个 小时 ! 人民 币 难 挣 啊 !,2,4
3290,"终于 吃 了 那个 什么 菠萝 饭 了 , 也 不是 那么 好吃 嘛 …",3,5
3291,"我 需要 一点 儿 正 能量 , 喵 ~",1,1
3292,"7 点 20 闹钟 响 , 总得 赖 到 7 点 30 才 起床 , 明早 依旧 如此 吧 !",3,3
3293,"9 月 , 否极泰来 , 期待 收获",1,1
3294,谈心 的 夜 很 漫长,0,5
3295,"从 今天 起 , 包包 里 放 钱 不 超过 200 块 ! [ 泪 ] [ 泪 ] [ 泪 ]",2,2
3296,keep   walking,0,0
3297,"困 似 懵懂 到 火车 站 , kfc 超 难 吃",3,3
3298,"生活 没有 抱怨 , 奋斗 才 有 尊严 ! [ 花 ] [ 心 ] 不错 的 一句话",1,1
3299,d18,0,0
3300,"咳嗽 咳 的 来 , 保佑 我 不要 感冒 啊 , 不大 生病 的 人 伤 不 起 啊 t_t",2,2
3301,"中环 上 被 异物 砸 损 前 挡风 玻璃 , 走 高架 的 朋友 们 都 要 小心 啊",3,3
3302,"一百 次 相 耐 只要 有 一 次 的 绚烂 , 下 一 次 会 更 勇敢 ~ [ 呵呵 ]",5,5
3303,"今天 我 很 兴奋 , 很 幸福 ! 不管 有 多 累 ! [ 鼓掌 ]",5,5
3304,"唉 ~ 日日 都 咖啡 提神 , 迟早 饮 到 破产 !",2,2
3305,热 到 睡 不 着 了 妈 蛋 !,4,4
3306,"到 上海 了 , 回 学校 了 , 去 医院 了 , 病 快 好 了 , liverpool 归来 了",0,2
3307,听说 去 东极岛 的 船票 票价 翻 了 四 倍 。 。 。,0,0
3308,很少 人 用 个 信 。 。 。 。,0,3
3309,"我 离开 了 , 你 保重 。",2,2
3310,"[ 吃惊 ] , [ 汗 ] 小 西门 对面 小 司 发艺 不错",1,1
3311,有 个 大厨 老爸 真 好 [ 心 ] 幸福 科 。,5,5
3312,"感冒 了 , 劲 想 去 唱 k ! 边 个 可以 收留 我 ? [ 可怜 ]",2,2
3313,心口 痛 。 。 。 嬲 到 我 火爆 ~ ~ ~ !,2,2
3314,"又 要 回 西昌 了 , 回到 山里 继续 沉淀 自己 . . . . . . . .",2,5
3315,happy   new   year   [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] [ 心 ] [ 心 ] [ 心 ] [ 心 ] [ 心 ],5,5
3316,明天 天公 要 作美 啊 ! ! [ 奥特曼 ],5,5
3317,[ 衰 ],2,2
3318,我 会 用 我 的 生命 去 爱 你 、 保护 你 ! ! !,1,1
3319,"昨天 晚上 梦 到 我 把 眼 睫毛 全 剪 秃 了 , 好 丑 阿   [ 打脸 ] [ 打脸 ]",3,5
3320,"有时 候 抱怨 不是 真的 抱怨 , 只是 一 种 习惯 。 我 错 了",3,2
3321,要 戒 口 了 ! ! ! [ 生病 ] [ 泪 ],2,2
3322,"厕所 第 四 次 了 , 我 今天 不 吃饭 了 还 不 成 么 [ 泪 ]",2,2
3323,死 now 妹 狮子 开 大 口,4,4
3324,"一 瓶 啤酒 已经 是 极限 , 现在 头 好 疼 … … [ 泪 ]",2,2
3325,"今晚 长 知识 了 , 要 学会 “ 藏 ” . . .",0,0
3326,"什么 时候 , 三五成群 , 到处 走走 . .",0,3
3327,我 的 烤箱 到 了 ! 蛋糕 要 成功 阿 !,5,5
3328,可 不 可以 不要 总是 在 这里 这样 吵吵闹闹 …,3,2
3329,病情 加重,2,0
3330,"老爸 从 家里 翻 出 n 种 伤 膏药 , 仔细 一 看 , 全 是 过期 的 。 。 。",3,3
3331,想 睡 而 不能 睡 真的 好 难受 [ 困 ],2,2
3332,"昏昏 沉沉 的 感觉 , 整天 就 想 睡觉 , 睡 太多 了 !",2,2
3333,想念 会 变成 现实 的   /   我 的 小乔   [ 心 ],1,2
3334,晚安 重庆 。 明天 要 一路顺风 睡 回 杭州 ! !,5,5
3335,"不 妥协 , 直到 变 老 。",0,3
